video_id,title,description,published_at,view_count,comment_count,duration_sec,brand,full_text,url
IabhqGI1q1M,Lipton Thai Iced Tea Recipe,"How To Make Lipton Thai Iced Tea
Step 1: Boil water & brew Lipton Extra Bold tea for 4 minutes
Step 2: Add in 1/8 tsp vanilla extract and 1 tbsp sugar
Step 3: Pour tea over ice
Step 4: Add 1 tbsp condensed milk
Step 5: Enjoy!

LEARN MORE ABOUT LIPTON
Subscribe to Lipton’s Tea Club for latest offers and news: https://www.lipton.com/us/en/tea-club...​
Subscribe to Youtube: https://www.youtube.com/user/liptontea​
Follow us on Facebook: https://www.facebook.com/LiptonUS/​
Follow us on Instagram: https://www.instagram.com/liptonUSA/​
Follow us on Twitter: https://twitter.com/Lipton​",2021-03-29T14:52:40Z,55788,18,16.0,Lipton,"Lipton Thai Iced Tea Recipe How To Make Lipton Thai Iced Tea
Step 1: Boil water & brew Lipton Extra Bold tea for 4 minutes
Step 2: Add in 1/8 tsp vanilla extract and 1 tbsp sugar
Step 3: Pour tea over ice
Step 4: Add 1 tbsp condensed milk
Step 5: Enjoy!

LEARN MORE ABOUT LIPTON
Subscribe to Lipton’s Tea Club for latest offers and news: https://www.lipton.com/us/en/tea-club...​
Subscribe to Youtube: https://www.youtube.com/user/liptontea​
Follow us on Facebook: https://www.facebook.com/LiptonUS/​
Follow us on Instagram: https://www.instagram.com/liptonUSA/​
Follow us on Twitter: https://twitter.com/Lipton​",https://www.youtube.com/watch?v=IabhqGI1q1M
tw2-8GmJ3xE,Lipton Can Help Support A Healthy Heart,"One simple, delicious way to take care of your heart is to drink unsweetened Lipton Green or Black Tea, either hot or iced. Lipton Green and Black Teas have no added sugar, are hydrating, and contain about 150mg and 170mg of flavonoids per serving, respectively. Flavonoids are natural dietary compounds, which have long been associated with heart health benefits. 

Lipton is a proud sponsor of the American Heart Association's Life is Why campaign. The American Heart Association’s relationship is limited to Unsweetened Lipton Black Tea and Green Tea.",2021-01-28T17:18:45Z,35447,12,16.0,Lipton,"Lipton Can Help Support A Healthy Heart One simple, delicious way to take care of your heart is to drink unsweetened Lipton Green or Black Tea, either hot or iced. Lipton Green and Black Teas have no added sugar, are hydrating, and contain about 150mg and 170mg of flavonoids per serving, respectively. Flavonoids are natural dietary compounds, which have long been associated with heart health benefits. 

Lipton is a proud sponsor of the American Heart Association's Life is Why campaign. The American Heart Association’s relationship is limited to Unsweetened Lipton Black Tea and Green Tea.",https://www.youtube.com/watch?v=tw2-8GmJ3xE
eotYX8V4DC0,How to Make Milk Tea with Lipton,"Make a cup of milk tea fit for a queen! Follow this British method for how to brew the perfect cup of homemade milk tea every time. 

Visit the site for the full guide:
https://www.lipton.com/us/en/world-of-tea/how-to-make-milk-tea.html",2019-09-03T09:39:19Z,208546,75,19.0,Lipton,"How to Make Milk Tea with Lipton Make a cup of milk tea fit for a queen! Follow this British method for how to brew the perfect cup of homemade milk tea every time. 

Visit the site for the full guide:
https://www.lipton.com/us/en/world-of-tea/how-to-make-milk-tea.html",https://www.youtube.com/watch?v=eotYX8V4DC0
iT-JNGaUoBE,Recipe for Lipton DIY Iced Tea,"Try your hand at this homemade iced tea recipe using Lipton Green Tea with Mint teabags! 

Ingredients:
2 tsp. ground cinnamon
1/4 tsp. vanilla extract
2 cups water
2 Lipton® Mint Green Tea Bags
Juice of 1 orange
Ice cubes or crushed ice

Visit the site for the full recipe: https://www.lipton.com/us/en/world-of-tea/recipes/lipton-green-tea-with-mint-homemade-iced-tea.html",2019-08-23T13:16:13Z,133046,25,40.0,Lipton,"Recipe for Lipton DIY Iced Tea Try your hand at this homemade iced tea recipe using Lipton Green Tea with Mint teabags! 

Ingredients:
2 tsp. ground cinnamon
1/4 tsp. vanilla extract
2 cups water
2 Lipton® Mint Green Tea Bags
Juice of 1 orange
Ice cubes or crushed ice

Visit the site for the full recipe: https://www.lipton.com/us/en/world-of-tea/recipes/lipton-green-tea-with-mint-homemade-iced-tea.html",https://www.youtube.com/watch?v=iT-JNGaUoBE
s8irxltl2Xc,Empowering Women in Tea Farming Communities,"Lipton and WE are working together to empower 80,000 women and their families in Kenyan tea-farming communities. When you choose Lipton, you show your support for the programs that provide female tea farmers with access to empowerment tools (including financial and business skills training), helping them grow the money they earn and become leaders in their communities.",2018-04-18T22:46:41Z,15428,11,196.0,Lipton,"Empowering Women in Tea Farming Communities Lipton and WE are working together to empower 80,000 women and their families in Kenyan tea-farming communities. When you choose Lipton, you show your support for the programs that provide female tea farmers with access to empowerment tools (including financial and business skills training), helping them grow the money they earn and become leaders in their communities.",https://www.youtube.com/watch?v=s8irxltl2Xc
rwLjDQPgQ4s,Perfection | Lipton Sparkling Iced Tea | #BeMoreTea,"Imagine the lightness of bubbles with the great taste of tea… combined into one delicious new product! The tea experts at Lipton are bringing you a delicious, lightly carbonated iced tea infused with smooth, crisp bubbles for a refreshingly uplifting feeling.  Made with natural flavors, the light taste of new Lipton Sparkling Iced Tea is a great way to refresh yourself throughout the day.

#BeMoreTea",2015-12-26T15:30:10Z,15772,11,27.0,Lipton,"Perfection | Lipton Sparkling Iced Tea | #BeMoreTea Imagine the lightness of bubbles with the great taste of tea… combined into one delicious new product! The tea experts at Lipton are bringing you a delicious, lightly carbonated iced tea infused with smooth, crisp bubbles for a refreshingly uplifting feeling.  Made with natural flavors, the light taste of new Lipton Sparkling Iced Tea is a great way to refresh yourself throughout the day.

#BeMoreTea",https://www.youtube.com/watch?v=rwLjDQPgQ4s
u0RmjuupzgA,REIGNITION | Alan Ampudia Unveils His Wildest Off-Road Truck Yet,"2X Baja World Champion Alan Ampudia is back behind the wheel, revealing his 2026 trophy truck livery. From the shop to full-speed runs, the film captures the truck in action - big jumps, deep whoops, and long desert lines. This is the first look at the new truck doing what it was built for.

Follow us:
http://www.instagram.com/MonsterEnergy
http://www.facebook.com/MonsterEnergy
http://www.twitter.com/MonsterEnergy
https://www.tiktok.com/@monsterenergy
http://www.youtube.com/MonsterEnergy
http://www.twitch.tv/monsterenergy

#MonsterEnergy #OffRoad #Motorsport",2026-03-22T16:01:20Z,9432,19,176.0,Monster Energy,"REIGNITION | Alan Ampudia Unveils His Wildest Off-Road Truck Yet 2X Baja World Champion Alan Ampudia is back behind the wheel, revealing his 2026 trophy truck livery. From the shop to full-speed runs, the film captures the truck in action - big jumps, deep whoops, and long desert lines. This is the first look at the new truck doing what it was built for.

Follow us:
http://www.instagram.com/MonsterEnergy
http://www.facebook.com/MonsterEnergy
http://www.twitter.com/MonsterEnergy
https://www.tiktok.com/@monsterenergy
http://www.youtube.com/MonsterEnergy
http://www.twitch.tv/monsterenergy

#MonsterEnergy #OffRoad #Motorsport",https://www.youtube.com/watch?v=u0RmjuupzgA
E6NAUt21rcw,Tory Snyder sending it on St. Paddy's Day 😤,,2026-03-17T16:00:31Z,31902,11,11.0,Monster Energy,Tory Snyder sending it on St. Paddy's Day 😤 ,https://www.youtube.com/watch?v=E6NAUt21rcw
Hb3nbDbfpUY,SwampFest madness 😮‍💨,,2026-03-16T15:00:26Z,40294,11,21.0,Monster Energy,SwampFest madness 😮‍💨 ,https://www.youtube.com/watch?v=Hb3nbDbfpUY
1KU9nFyKoWc,130 m² of chocolate heaven: The opening of the Lindt boutique at Zurich airport,"https://www.lindt-spruengli.com

https://www.chocolate.lindt.com/travel-retail/

LINDT brand ambassador Roger Federer and Maître Chocolatier Stefan Bruderer ceremoniously opened the newly designed LINDT Chocolate Boutique at Zurich Airport. At Level 2 in the Airside Center at Zurich Airport, passengers at Zurich Airport can expect a world full of exclusive crea-tions, only available in the creations available there, which leave nothing to be desired by real chocolate lovers. 

Following the official opening, the world-famous tennis star visibly enjoyed the unique chocolate tour by Lindt Maître chocolatier Stefan Bruderer, who personally guided the star guest through the Chocolate Boutique and presented him with all the highlights that chocolate fans from all over the world can expect on 130 m² of sales space. 

A special highlight of the boutique is the new Maître Chocolatier counter, where LINDT Maîtres Chocolatiers demonstrate their craftsmanship with great attention to detail and passengers can experience chocolate up close. In the Chocolate Boutique, the large selection of exquisite master-pieces, chocolate figures, chocolate lollipops, fresh bars and the very exclusive LINDT Piemonte are freshly prepared every day. 

For true LINDOR fans, the true chocolate paradise is located at the impressive colourful Pick & Mix world where they can put together their own personal mix from around 18 different LINDOR balls. Roger Federer immediately took the opportunity and, with the expert advice of Maître Chocolatier Stefan Bruderer, also enjoyed previously unknown lindor creations. He was visibly pleased to be present at the grand opening ceremony and confessed: ""The new Chocolate Boutique is my perfect Lindt Stopover at Zurich Airport and makes my departure from Switzerland easier"". 

At the renowned gift specialist Lindt & Sprüngli, personalization is a top priority. For this purpose, the gift station in the boutique offers numerous opportunities to turn gifts for loved ones into an individual eye-catcher with personalized ribbons, stickers and fine packaging. In addition, the new Magical Selfie Mirror enriches the interactive shopping experience. Passengers can make a Selfie in the boutique, design it with different frames, send it digitally or print it out on site and perfectly complement the gift. 

To sweeten the farewell from Switzerland for the passengers, the exclusive Travel Retail range was supplemented with a selection of products dedicated to the Swiss home of Lindt & Sprüngli. Start-ing with a Zurich edition of the new LINDT Swiss Masterpieces gift box, through a Swiss Tourist Board, to a Swiss edition of the LINDT Napolitain World Traveller Collection cans. 

https://www.lindt-spruengli.com

https://www.chocolate.lindt.com/travel-retail/",2019-06-20T15:09:10Z,12051,9,96.0,Lindt,"130 m² of chocolate heaven: The opening of the Lindt boutique at Zurich airport https://www.lindt-spruengli.com

https://www.chocolate.lindt.com/travel-retail/

LINDT brand ambassador Roger Federer and Maître Chocolatier Stefan Bruderer ceremoniously opened the newly designed LINDT Chocolate Boutique at Zurich Airport. At Level 2 in the Airside Center at Zurich Airport, passengers at Zurich Airport can expect a world full of exclusive crea-tions, only available in the creations available there, which leave nothing to be desired by real chocolate lovers. 

Following the official opening, the world-famous tennis star visibly enjoyed the unique chocolate tour by Lindt Maître chocolatier Stefan Bruderer, who personally guided the star guest through the Chocolate Boutique and presented him with all the highlights that chocolate fans from all over the world can expect on 130 m² of sales space. 

A special highlight of the boutique is the new Maître Chocolatier counter, where LINDT Maîtres Chocolatiers demonstrate their craftsmanship with great attention to detail and passengers can experience chocolate up close. In the Chocolate Boutique, the large selection of exquisite master-pieces, chocolate figures, chocolate lollipops, fresh bars and the very exclusive LINDT Piemonte are freshly prepared every day. 

For true LINDOR fans, the true chocolate paradise is located at the impressive colourful Pick & Mix world where they can put together their own personal mix from around 18 different LINDOR balls. Roger Federer immediately took the opportunity and, with the expert advice of Maître Chocolatier Stefan Bruderer, also enjoyed previously unknown lindor creations. He was visibly pleased to be present at the grand opening ceremony and confessed: ""The new Chocolate Boutique is my perfect Lindt Stopover at Zurich Airport and makes my departure from Switzerland easier"". 

At the renowned gift specialist Lindt & Sprüngli, personalization is a top priority. For this purpose, the gift station in the boutique offers numerous opportunities to turn gifts for loved ones into an individual eye-catcher with personalized ribbons, stickers and fine packaging. In addition, the new Magical Selfie Mirror enriches the interactive shopping experience. Passengers can make a Selfie in the boutique, design it with different frames, send it digitally or print it out on site and perfectly complement the gift. 

To sweeten the farewell from Switzerland for the passengers, the exclusive Travel Retail range was supplemented with a selection of products dedicated to the Swiss home of Lindt & Sprüngli. Start-ing with a Zurich edition of the new LINDT Swiss Masterpieces gift box, through a Swiss Tourist Board, to a Swiss edition of the LINDT Napolitain World Traveller Collection cans. 

https://www.lindt-spruengli.com

https://www.chocolate.lindt.com/travel-retail/",https://www.youtube.com/watch?v=1KU9nFyKoWc
